Country Name,co2 emission
Afghanistan,0.160976451493467
Albania,1.69224831964856
Algeria,4.01003452306043
American Samoa,..
Andorra,6.54938894201171
Angola,0.77920257513549
Antigua and Barbuda,5.64499474501464
Argentina,3.74065029063396
Armenia,2.1874763175712
Aruba,..
Australia,15.2536183403361
Austria,7.2939842524557
Azerbaijan,3.54239782750878
Bahamas,7.02002416017844
Bahrain,22.2595806695899
Bangladesh,0.548224196802713
Barbados,4.46141766007567
Belarus,6.12223776544422
Belgium,8.09558395403513
Belize,1.64484248241402
Benin,0.593957402249655
Bermuda,..
Bhutan,1.36815120067167
Bolivia,1.89686699834282
Bosnia and Herzegovina,6.26950657013477
Botswana,2.90034572120997
Brazil,2.05068507848387
British Virgin Islands,..
Brunei Darussalam,15.9571548577283
Bulgaria,5.61085727989368
Burkina Faso,0.238644814374665
Burundi,0.0606324085103501
Cabo Verde,1.12645785515162
Cambodia,0.99828812132025
Cameroon,0.36575423097444
Canada,15.4306128276297
Cayman Islands,..
Central African Republic,0.0460712358524027
Chad,0.139518738482728
Channel Islands,..
Chile,4.79897448626273
China,7.60593696057347
Colombia,1.61474774997391
Comoros,0.404558352293774
"Congo, Dem. Rep.",0.035703604452862
"Congo, Rep.",1.30323966861845
Costa Rica,1.62060141840353
Cote d'Ivoire,0.414187926192633
Croatia,4.06370783264011
Cuba,2.28953729585692
Curacao,..
Cyprus,5.85106560779507
Czechia,9.02278615795801
Denmark,5.10798850907958
Djibouti,0.391063625017438
Dominica,2.38001906518647
Dominican Republic,2.50232446393338
Ecuador,2.26537072831623
"Egypt, Arab Rep.",2.36104083450537
El Salvador,1.2419953308516
Equatorial Guinea,3.44487644137984
Eritrea,0.251513509771479
Estonia,7.67202927819305
Eswatini,0.820784292361942
Ethiopia,0.160882448704671
Faroe Islands,..
Fiji,1.7747001739115
Finland,7.37285476082008
France,4.45954746474334
French Polynesia,..
Gabon,2.34083962573318
"Gambia, The",0.231178569630668
Georgia,2.71762422558518
Germany,7.91162101567715
Ghana,0.635740643066456
Gibraltar,..
Greece,5.59618906985928
Greenland,..
Grenada,2.68896070135444
Guam,..
Guatemala,1.16297092439764
Guinea,0.306735630750854
Guinea-Bissau,0.167473846479787
Guyana,3.56806159680473
Haiti,0.297479358179563
Honduras,1.02622509805408
"Hong Kong SAR, China",..
Hungary,4.74663102989868
Iceland,4.54844225751086
India,1.77592267295201
Indonesia,2.2992559151159
"Iran, Islamic Rep.",7.27795087587852
Iraq,4.19983672120634
Ireland,7.24514322077522
Isle of Man,..
Israel,6.91959371834315
Italy,5.31131544170879
Jamaica,2.98176162161011
Japan,8.54098020491546
Jordan,2.30215243883444
Kazakhstan,11.4569378323984
Kenya,0.43727903105104
Kiribati,0.724398576768367
"Korea, Dem. People's Rep.",2.17585095574668
"Korea, Rep.",11.7993253802233
Kosovo,..
Kuwait,20.8619489599151
Kyrgyz Republic,1.55664325620875
Lao PDR,2.59426810708029
Latvia,3.95543586167438
Lebanon,4.83404536996868
Lesotho,0.345958255384824
Liberia,0.23669639765075
Libya,8.64655782310429
Liechtenstein,3.89792645809636
Lithuania,4.19807602212644
Luxembourg,15.3064265559542
"Macao SAR, China",..
Madagascar,0.149637883052437
Malawi,0.0768523956339848
Malaysia,7.72070021517061
Maldives,4.18229224332584
Mali,0.283457953884067
Malta,3.29324560594014
Marshall Islands,4.024324967639
Mauritania,0.901034695237842
Mauritius,3.29459100560393
Mexico,3.59170861408077
"Micronesia, Fed. Sts.",1.61610363850059
Moldova,3.32554607145542
Monaco,..
Mongolia,7.13704541005504
Montenegro,4.17987599373753
Morocco,1.96890700867326
Mozambique,0.247642484818277
Myanmar,0.692304948191065
Namibia,1.72481153375467
Nauru,4.94559830686577
Nepal,0.466487528837777
Netherlands,8.43707462722941
New Caledonia,..
New Zealand,6.83041418732592
Nicaragua,0.786323459138814
Niger,0.0917102782590997
Nigeria,0.567031242867457
North Macedonia,3.99673721344351
Northern Mariana Islands,..
Norway,6.7222699848575
Oman,16.5183208841499
Pakistan,0.853451601070211
Palau,13.9540075909801
Panama,3.15177774263441
Papua New Guinea,0.794342262981161
Paraguay,1.25726911931851
Peru,1.72887251525604
Philippines,1.31743920046954
Poland,7.77364183861292
Portugal,4.33976842606964
Puerto Rico,..
Qatar,32.7617749211246
Romania,3.81743447683141
Russia,11.7972029330523
Rwanda,0.10362268340321
Samoa,1.4157288026282
San Marino,..
Sao Tome and Principe,0.698978121801425
Saudi Arabia,14.6195533262224
Senegal,0.663717595132331
Serbia,6.61604693907974
Seychelles,6.24839963436737
Sierra Leone,0.111845310494787
Singapore,8.30707949147546
Sint Maarten (Dutch part),..
Slovak Republic,5.69841625532024
Slovenia,6.51220937780615
Solomon Islands,0.533338885447871
Somalia,0.0431754611712322
South Africa,7.5686401152277
South Sudan,0.162715772851441
Spain,5.09135092007508
Sri Lanka,1.09067562659476
St. Kitts and Nevis,5.23977196512408
St. Lucia,3.02380417765225
St. Martin (French part),..
St. Vincent and the Grenadines,2.47798397376441
Sudan,0.476960503374967
Suriname,4.41445224207094
Sweden,3.4050379189887
Switzerland,4.35904146198319
Syrian Arab Republic,1.27921574292573
Tajikistan,1.00888904890509
Tanzania,0.207941598929037
Thailand,3.74559494087468
Timor-Leste,0.484209313350878
Togo,0.287513388244642
Tonga,1.52452093285172
Trinidad and Tobago,11.3095456997461
Tunisia,2.48229897962756
Turkiye,4.75361752810222
Turkmenistan,11.8325808805801
Turks and Caicos Islands,..
Tuvalu,0.912741856195927
Uganda,0.136440643979205
Ukraine,3.93658353086744
United Arab Emirates,20.5022832059804
United Kingdom,5.22051448799294
United States of America,14.6734106066885
Uruguay,1.89300628108203
Uzbekistan,3.47554445038462
Vanuatu,0.689872647677064
"Venezuela, RB",3.87757923272497
Vietnam,3.51327550460568
Virgin Islands (U.S.),..
"Yemen, Rep.",0.351859419470324
Zambia,0.369957765009845
Zimbabwe,0.765893875563726